river country province
Doubs F Bourgogne-Franche-Comté
Doubs CH Jura
Isere F Auvergne-Rhône-Alpes
Durance F "Provence-Alpes-Côte d'Azur"
Douro E "Castilla y León"
Douro P Aveiro
Douro P Braganca
Douro P Guarda
Douro P Porto
Douro P "Vila Real"
Douro P Viseu
Mondego P Coimbra
Mondego P Guarda
Mondego P Viseu
Tajo E "Castilla-La Mancha"
Tajo E Extremadura
Tajo P "Castelo Branco"
Tajo P Lisboa
Tajo P Portalegre
Tajo P Santarem
Sado P Beja
Sado P Setubal
Guadiana E Andalucía
Guadiana E "Castilla-La Mancha"
Guadiana E Extremadura
Guadiana P Beja
Guadiana P Evora
Guadiana P Algarve
Guadiana P Portalegre
Guadalquivir E Andalucía
Ebro E Aragón
Ebro E Euskadi
Ebro E "Castilla y León"
Ebro E Catalunya
Ebro E Navarra
Ebro E "La Rioja"
Po I Piemonte
Po I Lombardia
Po I Veneto
Po I Emilia-Romagna
Ticino I Piemonte
Ticino I Lombardia
Ticino CH Ticino
"Dora Baltea" I Piemonte
"Dora Baltea" I "Valle d'Aosta"
Tanaro I Piemonte
Tanaro I Liguria
Adda I Lombardia
Mincio I Veneto
Etsch I "Trentino-Alto Adige"
Etsch I Veneto
Tevere I Toscana
Tevere I Umbria
Tevere I Lazio
Marta I Lazio
Arrone I Lazio
Arno I Toscana
"Imera Meridionale" I Sicilia
Tirso I Sardegna
Donau SRB Serbia
Donau SK Bratislavský
Donau SK Nitriansky
Donau SK Trnavský
Donau D Baden-Württemberg
Donau D Bayern
Donau H Baranya
Donau H Bács-Kiskun
Donau H Fejér
Donau H Győr-Moson-Sopron
Donau H Komárom-Esztergom
Donau H Pest
Donau H Tolna
Donau H Budapest
Donau A Wien
Donau A Oberösterreich
Donau A Niederösterreich
Donau UA Odeska
Donau HR Croatia
Donau BG Bulgaria
Donau RO Brăila
Donau RO Călăraşi
Donau RO Caraş-Severin
Donau RO Constanţa
Donau RO Dolj
Donau RO Galaţi
Donau RO Giurgiu
Donau RO Ialomiţa
Donau RO Mehedinţi
Donau RO Olt
Donau RO Teleorman
Donau RO Tulcea
Donau MD Moldova
Breg D Baden-Württemberg
Brigach D Baden-Württemberg
Iller D Baden-Württemberg
Iller D Bayern
Iller A Vorarlberg
Lech D Bayern
Lech A Vorarlberg
Lech A Tirol
Isar D Bayern
Isar A Tirol
Ammer D Bayern
Würm D Bayern
Inn D Bayern
Inn CH Graubünden
Inn A Oberösterreich
Inn A Tirol
Ilz D Bayern
Regen CZ Plzeňský
Regen D Bayern
Alz D Bayern
Salzach D Bayern
Salzach A Oberösterreich
Salzach A Salzburg
Enns A Oberösterreich
Enns A Steiermark
Enns A Salzburg
Enns A Niederösterreich
March CZ Jihomoravský
March CZ Olomoucký
March CZ Pardubický
March CZ Zlínský
March SK Bratislavský
March SK Trnavský
March A Niederösterreich
Raab H Győr-Moson-Sopron
Raab H Vas
Raab H Veszprém
Raab A Burgenland
Raab A Steiermark
Waag SK Žilinský
Waag SK Nitriansky
Waag SK Trenčiansky
Waag SK Trnavský
Drau H Baranya
Drau H Somogy
Drau H Zala
Drau I "Trentino-Alto Adige"
Drau A Kärnten
Drau A Tirol
Drau SLO Slovenia
Drau HR Croatia
Gail A Kärnten
Gail A Tirol
Mur H Zala
Mur A Steiermark
Mur A Salzburg
Mur SLO Slovenia
Mur HR Croatia
Theiss SRB Serbia
Theiss H Borsod-Abaúj-Zemplén
Theiss H Csongrád
Theiss H Hajdú-Bihar
Theiss H Heves
Theiss H Szabolcs-Szatmár-Bereg
Theiss H Jász-Nagykun-Szolnok
Theiss UA Chernivetska
Theiss UA Ivano-Frankivska
Theiss UA Zakarpatska
Mureș H Csongrád
Mureș RO Alba
Mureș RO Arad
Mureș RO Harghita
Mureș RO Hunedoara
Mureș RO Mureş
Argeș RO Argeş
Argeș RO Călăraşi
Argeș RO Dâmboviţa
Argeș RO Giurgiu
Argeș RO Ilfov
Dâmbovița RO Argeş
Dâmbovița RO Bucureşti
Dâmbovița RO Călăraşi
Dâmbovița RO Dâmboviţa
Dâmbovița RO Ilfov
Save SRB Serbia
Save SLO Slovenia
Save HR Croatia
Save BIH "Federacija Bosne i Hercegovine"
Save BIH "Republika Srpska"
Save BIH Brčko
Drina SRB Serbia
Drina BIH "Federacija Bosne i Hercegovine"
Drina BIH "Republika Srpska"
Tara MNE Montenegro
Tara BIH "Republika Srpska"
Piva MNE Montenegro
Piva BIH "Republika Srpska"
Morava SRB Serbia
"Western Morava" SRB Serbia
"Southern Morava" MK "North Macedonia"
"Southern Morava" SRB Serbia
"Southern Morava" KOS Kosovo
Iskar BG Bulgaria
Olt RO Braşov
Olt RO Covasna
Olt RO Harghita
Olt RO Olt
Olt RO Sibiu
Olt RO Vâlcea
Sereth UA Chernivetska
Sereth RO Bacău
Sereth RO Botoşani
Sereth RO Galaţi
Sereth RO Iaşi
Sereth RO Neamţ
Sereth RO Suceava
Sereth RO Vrancea
Pruth UA Chernivetska
Pruth UA Ivano-Frankivska
Pruth RO Botoşani
Pruth RO Galaţi
Pruth RO Iaşi
Pruth RO Vaslui
Pruth MD Moldova
Moraca MNE Montenegro
Neretva HR Croatia
Neretva BIH "Federacija Bosne i Hercegovine"
Neretva BIH "Republika Srpska"
Buna AL Albania
Buna MNE Montenegro
Drin AL Albania
"White Drin" AL Albania
"White Drin" KOS Kosovo
"Black Drin" AL Albania
"Black Drin" MK "North Macedonia"
Vardar GR "Kentrikis Makedonias"
Vardar MK "North Macedonia"
Maritsa GR "Anatolikis Makedonias kai Thrakis"
Maritsa BG Bulgaria
Maritsa TR Edirne
Aliakmonas GR "Dytikis Makedonias"
Aliakmonas GR "Kentrikis Makedonias"
Jordan RL Lebanon
Jordan WB "West Bank"
Jordan IL HaZafon
Jordan SYR "Al Qunaytirah"
Jordan JOR Jordan
Orontes TR Hatay
Orontes RL Lebanon
Orontes SYR Hamah
Orontes SYR Hims
Orontes SYR Idlib
Kura GE Georgia
Kura AZ Azerbaijan
Kura TR Kars
Kura TR Ardahan
Aras ARM Armenia
Aras AZ Azerbaijan
Aras TR Erzurum
Aras TR Kars
Aras TR Iğdır
Aras IR "West Azarbayejan"
Aras IR "East Azarbayejan"
Aras IR Ardebil
Hrazdan ARM Armenia
"Schatt al Arab" IRQ Basrah
"Schatt al Arab" IR Khuzestan
Tigris TR Batman
Tigris TR Diyarbakır
Tigris TR Mardin
Tigris TR Siirt
Tigris TR Şırnak
Tigris SYR "Al Hasakah"
Tigris IRQ Babylon
Tigris IRQ Baghdad
Tigris IRQ Basrah
Tigris IRQ Maysan
Tigris IRQ Nineveh
